,출발 국가,도착 국가,출발국가이름,도착국가이름
0,TJK,IRI,타지키스탄,이란
1,TJK,IRI,타지키스탄,이란
2,TJK,IRI,타지키스탄,이란
3,TJK,IRI,타지키스탄,이란
4,TJK,IRI,타지키스탄,이란
5,TJK,IRI,타지키스탄,이란
6,TJK,IRI,타지키스탄,이란
7,TJK,IRI,타지키스탄,이란
8,TJK,IRI,타지키스탄,이란
9,TJK,IRI,타지키스탄,이란
10,TJK,IRI,타지키스탄,이란
11,TJK,IRI,타지키스탄,이란
12,TJK,IRI,타지키스탄,이란
13,TJK,IRI,타지키스탄,이란
14,TJK,IRI,타지키스탄,이란
15,TJK,IRI,타지키스탄,이란
16,TJK,IRI,타지키스탄,이란
17,TJK,IRI,타지키스탄,이란
18,TJK,IRI,타지키스탄,이란
19,TJK,IRI,타지키스탄,이란
20,TJK,IRI,타지키스탄,이란
21,TJK,IRI,타지키스탄,이란
22,TJK,IRI,타지키스탄,이란
23,TJK,IRI,타지키스탄,이란
24,TJK,IRI,타지키스탄,이란
25,TJK,IRI,타지키스탄,이란
26,TJK,IRI,타지키스탄,이란
27,TJK,IRI,타지키스탄,이란
28,TJK,IRI,타지키스탄,이란
29,TJK,IRI,타지키스탄,이란
30,TJK,IRI,타지키스탄,이란
31,TJK,IRI,타지키스탄,이란
32,TJK,IRI,타지키스탄,이란
33,TJK,IRI,타지키스탄,이란
34,TJK,IRI,타지키스탄,이란
35,TJK,IRI,타지키스탄,이란
36,TJK,IRI,타지키스탄,이란
37,TJK,IRI,타지키스탄,이란
38,TJK,IRI,타지키스탄,이란
39,TJK,IRI,타지키스탄,이란
40,TJK,IRI,타지키스탄,이란
41,TJK,IRI,타지키스탄,이란
42,TJK,IRI,타지키스탄,이란
43,TJK,IRI,타지키스탄,이란
44,TJK,IRI,타지키스탄,이란
45,TJK,IRI,타지키스탄,이란
46,TJK,IRI,타지키스탄,이란
47,TJK,IRI,타지키스탄,이란
48,TJK,IRI,타지키스탄,이란
49,TJK,IRI,타지키스탄,이란
50,TJK,IRI,타지키스탄,이란
