기체번호,항공사,기종,정원_F,정원_C,정원_W,정원_Y,총정원
VP-BDK,Aeroflot,A320-214,0,20,0,120,140
VP-BWD,Aeroflot,A320-214,0,20,0,120,140
VP-BWE,Aeroflot,A320-214,0,20,0,120,140
VP-BWF,Aeroflot,A320-214,0,20,0,120,140
VP-BRZ,Aeroflot,A320-214,0,20,0,120,140
VP-BKY,Aeroflot,A320-214,0,20,0,120,140
VP-BKC,Aeroflot,A320-214,0,20,0,120,140
VP-BZO,Aeroflot,A320-214,0,20,0,120,140
VP-BZQ,Aeroflot,A320-214,0,20,0,120,140
VP-BZP,Aeroflot,A320-214,0,20,0,120,140
VP-BZR,Aeroflot,A320-214,0,20,0,120,140
VP-BZS,Aeroflot,A320-214,0,20,0,120,140
VP-BME,Aeroflot,A320-214,0,20,0,120,140
VP-BMF,Aeroflot,A320-214,0,20,0,120,140
VQ-BAX,Aeroflot,A320-214,0,20,0,120,140
VQ-BAY,Aeroflot,A320-214,0,20,0,120,140
VQ-BBC,Aeroflot,A320-214,0,20,0,120,140
VQ-BCM,Aeroflot,A320-214,0,20,0,120,140
VQ-BCN,Aeroflot,A320-214,0,20,0,120,140
VQ-BEH,Aeroflot,A320-214,0,20,0,120,140
VQ-BEJ,Aeroflot,A320-214,0,20,0,120,140
VQ-BHL,Aeroflot,A320-214,0,20,0,120,140
VQ-BHN,Aeroflot,A320-214,0,20,0,120,140
VQ-BIW,Aeroflot,A320-214,0,20,0,120,140
VQ-BIR,Aeroflot,A320-214,0,20,0,120,140
VQ-BIV,Aeroflot,A320-214,0,20,0,120,140
VQ-BIT,Aeroflot,A320-214,0,20,0,120,140
VQ-BIU,Aeroflot,A320-214,0,20,0,120,140
VQ-BKS,Aeroflot,A320-214,0,20,0,120,140
VQ-BKT,Aeroflot,A320-214,0,20,0,120,140
VQ-BKU,Aeroflot,A320-214,0,20,0,120,140
VP-BID,Aeroflot,A320-214,0,20,0,120,140
VP-BJA,Aeroflot,A320-214,0,8,0,150,158
VP-BLH,Aeroflot,A320-214,0,8,0,150,158
VP-BLL,Aeroflot,A320-214,0,8,0,150,158
VP-BLP,Aeroflot,A320-214,0,8,0,150,158
VP-BNL,Aeroflot,A320-214,0,8,0,150,158
VP-BLR,Aeroflot,A320-214,0,8,0,150,158
VP-BNT,Aeroflot,A320-214,0,8,0,150,158
VP-BTI,Aeroflot,A320-214,0,8,0,150,158
VQ-BPU,Aeroflot,A320-214,0,8,0,150,158
VQ-BRV,Aeroflot,A320-214,0,8,0,150,158
VQ-BPV,Aeroflot,A320-214,0,8,0,150,158
VQ-BRW,Aeroflot,A320-214,0,8,0,150,158
VQ-BPW,Aeroflot,A320-214,0,8,0,150,158
VQ-BSE,Aeroflot,A320-214,0,8,0,150,158
VQ-BSG,Aeroflot,A320-214,0,8,0,150,158
VQ-BSH,Aeroflot,A320-214,0,8,0,150,158
VQ-BSI,Aeroflot,A320-214,0,8,0,150,158
VQ-BSJ,Aeroflot,A320-214,0,8,0,150,158
VQ-BSL,Aeroflot,A320-214,0,8,0,150,158
VQ-BST,Aeroflot,A320-214,0,8,0,150,158
VQ-BSU,Aeroflot,A320-214,0,8,0,150,158
VP-BJW,Aeroflot,A320-214,0,8,0,150,158
VP-BJY,Aeroflot,A320-214,0,8,0,150,158
VP-BEO,Aeroflot,A320-214,0,8,0,150,158
VP-BET,Aeroflot,A320-214,0,8,0,150,158
VP-BAC,Aeroflot,A320-214,0,8,0,150,158
VP-BAD,Aeroflot,A320-214,0,8,0,150,158
VP-BCA,Aeroflot,A320-214,0,8,0,150,158
VP-BCB,Aeroflot,A320-214,0,8,0,150,158
VP-BCE,Aeroflot,A320-214,0,8,0,150,158
VP-BFA,Aeroflot,A320-214,0,8,0,150,158
VP-BFE,Aeroflot,A320-214,0,8,0,150,158
VP-BFG,Aeroflot,A320-214,0,8,0,150,158
VP-BFH,Aeroflot,A320-214,0,8,0,150,158
VP-BKP,Aeroflot,A320-214,0,8,0,150,158
VP-BTA,Aeroflot,A320-214,0,8,0,150,158
VP-BLN,Aeroflot,A320-214,0,8,0,150,158
VP-BTC,Aeroflot,A320-214,0,8,0,150,158
VP-BLO,Aeroflot,A320-214,0,8,0,150,158
VP-BTJ,Aeroflot,A320-214,0,8,0,150,158
VP-BTO,Aeroflot,A320-214,0,8,0,150,158
VP-BIF,Aeroflot,A320-214,0,8,0,150,158
VP-BIY,Aeroflot,A320-214,0,8,0,150,158
VP-BII,Aeroflot,A320-214,0,8,0,150,158
VP-BIW,Aeroflot,A320-214,0,8,0,150,158
VP-BIJ,Aeroflot,A320-214,0,8,0,150,158
VQ-BEA,Aeroflot,A321-211,0,28,0,142,170
VQ-BED,Aeroflot,A321-211,0,28,0,142,170
VQ-BEF,Aeroflot,A321-211,0,28,0,142,170
VQ-BEG,Aeroflot,A321-211,0,28,0,142,170
VQ-BHK,Aeroflot,A321-211,0,28,0,142,170
VQ-BHM,Aeroflot,A321-211,0,28,0,142,170
VQ-BOH,Aeroflot,A321-211,0,28,0,142,170
VQ-BOI,Aeroflot,A321-211,0,28,0,142,170
VP-BDC,Aeroflot,A321-211,0,28,0,142,170
VP-BOC,Aeroflot,A321-211,0,28,0,142,170
VP-BOE,Aeroflot,A321-211,0,28,0,142,170
VP-BTG,Aeroflot,A321-211,0,28,0,142,170
VP-BTL,Aeroflot,A321-211,0,28,0,142,170
VP-BTR,Aeroflot,A321-211,0,28,0,142,170
VP-BEA,Aeroflot,A321-211,0,16,0,167,183
VP-BEE,Aeroflot,A321-211,0,16,0,167,183
VP-BEG,Aeroflot,A321-211,0,16,0,167,183
VP-BES,Aeroflot,A321-211,0,16,0,170,186
VP-BJX,Aeroflot,A321-211,0,16,0,167,183
VP-BAV,Aeroflot,A321-211,0,16,0,167,183
VP-BEW,Aeroflot,A321-211,0,16,0,167,183
VP-BAX,Aeroflot,A321-211,0,16,0,167,183
VP-BKI,Aeroflot,A321-211,0,16,0,167,183
VP-BAE,Aeroflot,A321-211,0,16,0,167,183
VP-BAF,Aeroflot,A321-211,0,16,0,167,183
VP-BAY,Aeroflot,A321-211,0,16,0,167,183
VP-BAZ,Aeroflot,A321-211,0,16,0,167,183
VP-BFF,Aeroflot,A321-211,0,16,0,167,183
VP-BFK,Aeroflot,A321-211,0,16,0,167,183
VP-BFQ,Aeroflot,A321-211,0,16,0,167,183
VP-BFX,Aeroflot,A321-211,0,16,0,167,183
VP-BKR,Aeroflot,A321-211,0,16,0,167,183
VP-BKQ,Aeroflot,A321-211,0,16,0,167,183
VP-BTH,Aeroflot,A321-211,0,16,0,167,183
VP-BTK,Aeroflot,A321-211,0,16,0,167,183
VP-BKJ,Aeroflot,A321-211,0,16,0,167,183
VP-BKZ,Aeroflot,A321-211,0,16,0,167,183
VP-BLX,Aeroflot,A330-243,0,34,0,207,241
VP-BLY,Aeroflot,A330-243,0,34,0,207,241
VQ-BBE,Aeroflot,A330-243,0,34,0,207,241
VQ-BBF,Aeroflot,A330-243,0,30,0,199,229
VQ-BBG,Aeroflot,A330-243,0,34,0,207,241
VQ-BCQ,Aeroflot,A330-343,0,34,0,268,302
VQ-BCU,Aeroflot,A330-343,0,34,0,268,302
VQ-BCV,Aeroflot,A330-343,0,34,0,268,302
VQ-BEK,Aeroflot,A330-343,0,34,0,268,302
VQ-BEL,Aeroflot,A330-343,0,34,0,268,302
VQ-BQX,Aeroflot,A330-343,0,34,0,268,302
VQ-BQY,Aeroflot,A330-343,0,34,0,268,302
VQ-BNS,Aeroflot,A330-343,0,36,0,265,301
VQ-BQZ,Aeroflot,A330-343,0,28,0,268,296
VQ-BMV,Aeroflot,A330-343,0,28,0,268,296
VQ-BMX,Aeroflot,A330-343,0,28,0,268,296
VQ-BMY,Aeroflot,A330-343,0,28,0,268,296
VQ-BPI,Aeroflot,A330-343,0,28,0,268,296
VQ-BPJ,Aeroflot,A330-343,0,28,0,268,296
VQ-BPK,Aeroflot,A330-343,0,28,0,268,296
VP-BDD,Aeroflot,A330-343,0,28,0,268,296
VP-BDE,Aeroflot,A330-343,0,28,0,268,296
