도시코드,도 시 명,공 항 명,국  가
AAN,AI AIN,알아인,아랍에미리트
ABA,ABAKAN,아바칸,러시아
ABL,ABALAN,아발란,러시아
ACD,ACANDI,아칸디,콜롬비아
ACY,ATLANTIC CITY,아틀란타,미국
ADD,ADDIS ABABA,아디스아바바,에티오피아
ADE,ADEN,아덴,예멘
ADK,ADAK,애디악,미국
ADL,ADELAIDE,아드레이드,오스트레일리아
ADQ,KODIAK ALS,코디악,미국
AKJ,ASAHIKAWA,아사이까와,일본
AKL,AUCKLAND,오클랜드,뉴질랜드
AKN,KING SALMAN,킹살몬,미국
AKX,AKTYUBINSK,악티유빈스크,카자흐스탄
ALA,ALMA ATA,알마아타,카자흐스탄
ALB,ALBANY,알바니,미국
ALG,ALGIERS,알지에,알제리
AMA,AMARILLO,애머릴로,미국
AMD,AHMEDABAD,아메다바드,인도
AMM,AMMAN,암만,요르단
AMS,AMSTERDAM,암스텔담,네덜란드
ANC,ANCHORAGE,앵커리지,미국
AND,ANDERSEN,안데르센,미국
ANK,ANKARA,앙카라,터키
AOJ,AOMORI,아오모리,일본
AQJ,AQABA,아카바,요르단
ARH,ARHANGELSK,아르항겔스크,러시아
ARN,STOCKHOLM ARLANDA,스톡홀름 알란다,스웨덴
ASB,ASHKHABAD,아쉬가바트,투르크메니스탄
ASC,DEADHORSE,데드호스,미국
ASP,ALICE SPRINGS,엘리스 스프링스,오스트레일리아
ATH,ATENES,아테네,그리스
ATL,ATLANTA,아틀란타,미국
AUH,ABU DHABI,아부다비,아랍에미리트
AUS,AUSTIN TEXAS,오스틴,미국
AVV,AVALON,아발론,러시아
AWA,AWASA,아와사,에티오피아
AXT,AKITA,아끼다,일본
AYT,ANTALYA,안탈야,터키
AZN,ANDIZAHAN,안디잔,우즈베키스탄
BAH,BAHRAIN,바레인,바레인
BAK,BAKU,바쿠,러시아
BAS,BUENOSAIRES,부에노스아이레스,브라질
BAX,BARNAUL,바르나욜,러시아
BBU,BUCHAREST,부카레스트,루마니아
BCH,BAUCAU,바카우,인도네시아
BCN,BARCELONA,바로셀로나,스페인
BDA,BERMUDA,버뮤다,영국
BDL,BRADLEY INTL AIRPORT,브라들리(윈저락),미국
BEG,BELGRADE,베오그라드,루마니아
BEN,BENGHAZI-BENINA,벤하지-베니아,리비아
BER,BERLIN,베르린,독일
BET,BETHEL,베델,미국
BEY,BEIRUT,베이루트,레바논
BFI,BOEING FIEL,보잉필드,미국
BFN,MOBIL,모빌,미국
BFS,BELFAST,벨패스트,영국
BGR,BANGOR,반고르,미국
BHK,BUKHARA,부하라,우즈베키스탄
BIE,BISHKEK,비슈케크,키르기스스탄
BIK,BIAK,비아크,인도네시아
BKA,MOSCOW-BYKOVO,모스코바 비코보,러시아
BKI,KOTA KINABALU,코타키나발루,말레이시아
BKK,BANGKOK,방콕,타이
BLL,BILLUND,빌란드,덴마크
BLR,BANGALORE,뱅갈로,인도네시아
BMA,STOCKHOLM,스톡홀름,스웨덴
BMK,BANGKOK,돈무앙,타이
BNA,NASHVILLE,나쉬빌,미국
BNE,BRISBANE,브리스번,오스트레일리아
BOM,MUMBAI,뭄바이,인도
BOS,BOSTON,보스톤,미국
BPN,BALIKPAPAN,발릭파판,인도네시아
BQH,BIGGIN HILL,비긴힐,영국
BQS,BLAGOVESCHENSK,블라고베첸스크,러시아
BRE,BREMEN,브레멘,독일
BRU,BRUSSELS,브뤼셀,벨기에
BSL,BASEL,바젤,스위스
BST,BOST,보스트,아프가니스탄
BTH,BATAM,바탐,인도네시아
BTK,BRATSK,브라츠크,러시아
BTU,BINTULU,빈투루,말레이시아
BUD,BUCHAREST,부다페스트,루마니아
BUH,BUCHUREST,부쿠레스트,루마니아
BUR,BURBANK,버뱅크,미국
BWI,BALTIMORE,볼티모어,미국
BWN,BANDAR SERI BEGAWAN,반다르세리베가완,브루나이
BWT,BURNIE,브루나이,브루나이
CAI,CAIRO,카이로,이집트
CAN,GUANGZHOU BAIYUN,광저우,중화인민공화국
CBG,CAMBRIDGE,켐브리지,미국
CCK,CAMCHASKI,캄차스키,러시아
CCU,CALCUTTA,캘커타,인도
CDB,COLD BAY,콜드베이,미국
CDG,CHARLES DE GAULLE,파리,프랑스
CEB,CEBU,세부,필리핀
CEI,CHIANGMAI,치앙마이,타이
CEK,CHELYABINSK,쉘야빈스크,러시아
CGK,JAKARTA,자카르타,인도네시아
CGN,COLOGNE/BONN,퀼른,독일
CGO,ZHENGZHOU,정주,중화인민공화국
CGP,CHITTAGONG,치타공,방글라데시
CGQ,CHANGCHUN,장춘,중화인민공화국
CHC,CHRISTCHURCH,크리스트처칠,뉴질랜드
CHI,CHICAGO,시카고,미국
CHR,CHATEAUROUX,샤토루,프랑스
CHS,CHARLESTON MUNICIPAL,찰스턴 뮤니시플,미국
CIA,ROME,로마,이탈리아
CIT,CHIMKENT,침켄트,카자흐스탄
CJJ,CHEONGJU,청주,대한민국
CJU,JEJU,제주,대한민국
CKG,CHONGQING,총킹(중경),중화인민공화국
CKL,CHEKALOVSKY,체칼로브스키,러시아
CKT,CHIMKENT,침켄트,러시아
CLT,CHARLOTTE,샤롯테,미국
CMB,COLOMBO,콜롬보,스리랑카
CMF,CHAMBERY,쳄버리,프랑스
CMH,COLUMBUS,콜롬부스,미국
CNS,CAIRNS,캐언스,오스트레일리아
CNX,CHIANG MAI,치앙마이,타이
CPH,COPENHAGEN,코펜하겐,덴마크
CPM,COMPTON,콤프톤,미국
CPT,CAPETOWN,케이프타운,남아프리카 공화국
CRK,CLARKFIELD,클라크 필드,필리핀
CRZ,CHARDZHEV,차조우,투르크메니스탄
CSX,CHANGSHA,창사,중화인민공화국
CTI,CUITO-CUANAVALA,쿠이토쿠아나발레,앙골라
CTS,SAPPORO,삿보로(치토세),일본
CTU,CHENGDU,청두,중화인민공화국
CVG,CINCINNATI,신시내티,미국
CYI,CHIAYI,치아이,타이
CZX,CHANGZHOU,창저우,중화인민공화국
DAC,DHAKA,다카,방글라데시
DAD,DANANG,다낭,베트남
DAL,DALLAS,달라스,미국
DAR,DAR ES SALAAM,다르에스 살람,탄자니아
DAY,DAYTON,데이톤,미국
DBV,DUBROVNIK,두브로브니크,크로아티아
DCA,WASHINGTON NATL,와싱턴 국립,미국
DDG,Dandong,단동,중화인민공화국
DDJ,MYJ,마즈야마,일본
DEL,DELHI,델리,인도
DEN,DENVER,덴버,미국
DET,DETROIT,디트로이트,미국
DFW,DALLAS/FORT WORTH,달라스,미국
DGO,DURANGO,도루카,멕시코
DHA,DHAHRAN,다란,사우디아라비아
DJE,DJERBA,제르바,튀니지
DKR,DAKAR,다카르,세네갈
DLC,DALIAN,대련,중화인민공화국
DLH,DULUTH INTL,덜루스,미국
DMB,ZHAMBYL,잠불,러시아
DME,DOMODEDOVO,도모데도보,러시아
DMK,DON MUANG,돈무앙,타이
DMM,DAMMAM,담맘,사우디아라비아
DNA,ODINAWA,오디나와,일본
DOH,DOHA,도하,카타르
DOV,Dover-Cheswold AFB,도버체스올드,미국
DPS,DENPASAR,덴파사,인도네시아
DRS,DRESDEN,드레스덴,독일
DRW,DARWIN,다윈,오스트레일리아
DSM,DES MOINES,디모인,미국
DTT,DETROIT,디트로잇,미국
