book_name,book_writer,book_date,book_price,book_cover,book_page,book_size,book_weight,book_category,book_publisher,sales_point
올 더 빌딩스 인 런던,제임스 걸리버 핸콕,2018-08-25,"14,400",양장본,140,225*280mm,476,예술/대중문화,책발전소,110
렛 잇 블리드,이언 랜킨,2018-08-19,"13,320",반양장본,476,128*188mm,476,소설/시/희곡,오픈하우스,110
은유로 사회 읽기,대니얼 리그니,2018-08-20,"39,500",양장본,416,152*223mm,749,사회과학,한울(한울아카데미),10
유럽 맥주 여행,백경학,2018-08-24,"14,400",반양장본,308,150*220mm,400,역사,글항아리,10
"이게, 행복이 아니면 무엇이지",김혜령,2018-08-20,"13,050",NA,288,135*200mm,374,인문학,웨일북,10
이명현의 과학책방,이명현,2018-09-10,"15,300",NA,400,146*210mm,520,과학,사월의책,210
전환의 시대,박노자,2018-08-27,"13,500",반양장본,308,145*217mm,400,사회과학,한겨레출판,10
내 주위에는 왜 욱하는 사람들이 많은 걸까?,오카다 다카시,2018-08-24,"13,500",NA,308,148*215mm,400,인문학,세종서적,10
죽음에 관하여 스페셜 에디션 3 (양장),시니,2018-09-05,"13,500",양장본,248,150*220mm,347,만화,영컴(YOUNG COM),310
인듀어런스,스콧 켈리,2018-08-31,"19,800",NA,508,152*225mm,965,과학,클,10
주무르고 늘리고,요시타케 신스케,2018-08-16,"10,800",양장본,32,220*175mm,361,유아,스콜라(위즈덤하우스),"2,810"
이제 나부터 좋아하기로 했습니다,엔도 슈사쿠,2018-08-30,"11,520",NA,196,128*190mm,255,에세이,북스토리,10
색맹의 섬 (4종 중 1종 표지 랜덤),올리버 색스,2018-08-22,"16,650",NA,356,140*225mm,463,과학,알마,110
그의 옛 연인,윌리엄 트레버,2018-08-20,"12,600",NA,312,127*188mm,406,소설/시/희곡,한겨레출판,10
도덕의 기원,마이클 토마셀로,2018-08-13,"17,100",NA,336,140*215mm,437,과학,이데아,110
겹겹의 의도,장자크 상페,2018-08-15,"13,320",양장본,104,188*257mm,260,에세이,열린책들,10
아름다운 날들,장자크 상페,2018-08-15,"13,320",양장본,104,188*257mm,260,에세이,열린책들,210
고백,미나토 가나에,2018-08-23,"11,520",반양장본,296,137*197mm,385,소설/시/희곡,비채,"19,974"
가장 완전하게 만든 MOOMIN,"필립 아다,?프랭크 코트렐 보이스",2018-08-20,"32,400",양장본,368,216*270mm,1551,어린이,사파리,"3,110"
냥이와 함께 처음 만나는 컬러링북,명석,2018-08-30,"10,800",NA,72,250*250mm,194,예술/대중문화,좋은친구출판사,10
레이나의 피아노 노트 3 (스프링),박혜란(Reynah),2018-08-25,"11,700",반양장본,112,225*310mm,302,예술/대중문화,삼호ETM,510
윤리학 원리,조지 에드워드 무어,2018-08-20,"23,750",NA,436,152*224mm,828,인문학,아카넷,10
통계학 도감,"쿠리하라 신이치,?마루야마 아츠시",2018-08-10,"15,300",반양장본,299,152*223mm,590,과학,성안당,380
아기 영어 동요,책마중,2018-08-15,"12,150",NA,12,235*155mm,265,유아,스마트베어,"1,160"
숙련자를 위한 고전노트,이수은,2018-08-17,"14,400",반양장본,436,143*220mm,567,인문학,스윙밴드,970
세계전쟁사,존 키건,2018-08-10,"22,500",NA,584,152*223mm,818,역사,까치,400
너는 나의 꽃이다,류아영,2018-08-17,"13,500",양장본,96,205*150mm,134,예술/대중문화,성안북스,260
알록달록,정여울,2018-08-16,"10,080",반양장본,168,128*188mm,168,에세이,천년의상상,480
페터 비에리의 교양 수업,페터 비에리,2018-08-15,"8,100",반양장본,88,140*210mm,114,인문학,은행나무,260
한국 작가가 읽은 세계문학,"김연수,?신형철,?김애란,?심보선,?최은영",2018-08-17,"7,920",반양장본,824,140*210mm,880,에세이,문학동네,210
