노선명,항공사,출발지,출발국,도착지,도착국,검수,2016.6,2018.5,상태,비고,운항 횟수,운항_2016,운항_2017,운항_2018,운항_2016.12,운항_2017.1,운항_2017.2,운항_2017.12,운항_2018.1,운항_2018.2,운항_2016겨울,운항_2017겨울,운항_겨울 총합,운항_2017.3,운항_2017.4,운항_2017.5,운항_2018.3,운항_2018.4,운항_2018.5,운항_2017봄,운항_2018봄,운항_봄 총합,운항_2016.6,운항_2016.7,운항_2016.8,운항_2017.6,운항_2017.7,운항_2017.8,운항_2016여름,운항_2017여름,운항_여름 총합,운항_2016.9,운항_2016.10,운항_2016.11,운항_2017.9,운항_2017.10,운항_2017.11,운항_2016가을,운항_2017가을,운항_가을 총합,운송량,운송량_2016,운송량_2017,운송량_2018,운송량_2016.12,운송량_2017.1,운송량_2017.2,운송량_2017.12,운송량_2018.1,운송량_2018.2,운송량_2016겨울,운송량_2017겨울,운송량_겨울 총합,운송량_2017.3,운송량_2017.4,운송량_2017.5,운송량_2018.3,운송량_2018.4,운송량_2018.5,운송량_2017봄,운송량_2018봄,운송량_봄총합,운송량_2016.6,운송량_2016.7,운송량_2016.8,운송량_2017.6,운송량_2017.7,운송량_2017.8,운송량_2016여름,운송량_2017여름,운송량_여름 총합,운송량_2016.9,운송량_2016.10,운송량_2016.11,운송량_2017.9,운송량_2017.10,운송량_2017.11,운송량_2016가을,운송량_2017가을,운송량_가을 총합
7J105,Tajik Air,DYU,TJK,IKA,IRI,O,O,O,완료,,95,30,43,22,4,4,4,4,4,5,12,13,25,2,4,3,5,5,3,9,13,22,4,5,4,4,5,4,13,13,26,4,5,4,4,3,2,13,9,22,16450,5340,7532,3578,596,746,671,671,596,820,2013,2087,4100,373,896,447,970,745,447,1716,2162,3878,692,985,644,596,745,596,2321,1937,4258,842,985,596,746,597,448,2423,1791,4214
7J117,Tajik Air,DYU,TJK,DEL,IND,O,O,O,완료,,75,31,21,23,4,3,4,2,5,4,11,11,22,1,2,2,4,6,4,5,14,19,4,5,4,0,4,2,13,6,19,4,4,6,1,0,0,14,1,15,13797,5516,4179,4102,596,597,896,373,895,896,2089,2164,4253,224,448,298,746,969,596,970,2311,3281,692,937,692,0,746,373,2321,1119,3440,794,815,990,224,0,0,2599,224,2823
7J4801,Tajik Air,DYU,TJK,SVX,RUS,O,O,O,완료,,88,31,41,16,5,4,3,5,4,2,12,11,23,0,3,4,4,4,2,7,10,17,4,5,4,5,4,4,13,13,26,5,4,4,5,2,2,13,9,22,14877,5144,7274,2459,745,746,672,895,596,298,2163,1789,3952,0,637,671,596,596,373,1308,1565,2873,596,745,596,745,596,671,1937,2012,3949,970,896,596,745,448,448,2462,1641,4103
7J4805,Tajik Air,DYU,TJK,SGC,RUS,O,O,O,완료,,15,4,2,9,2,0,0,2,1,2,2,5,7,0,0,0,2,3,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,2358,644,373,1341,346,0,0,373,149,298,346,820,1166,0,0,0,298,447,149,0,894,894,0,0,0,0,0,0,0,0,0,0,0,298,0,0,0,298,0,298
7J4849,Tajik Air,DYU,TJK,FRU,KGZ,O,O,O,완료,,62,29,24,9,4,4,3,4,1,2,11,7,18,1,1,2,2,2,2,4,6,10,5,4,4,3,2,2,13,7,20,4,4,4,2,0,0,12,2,14,10975,5308,4251,1416,596,746,672,671,149,298,2014,1118,3132,224,224,373,373,298,298,821,969,1790,985,788,788,447,298,298,2561,1043,3604,767,788,596,298,0,0,2151,298,2449
7J4850,Tajik Air,FRU,KGZ,DYU,TJK,O,O,O,완료,,67,31,26,10,4,4,3,4,2,2,11,8,19,2,0,2,2,2,2,4,6,10,5,4,5,3,3,2,14,8,22,5,4,4,2,0,1,13,3,16,11843,5654,4624,1565,596,746,672,671,298,298,2014,1267,3281,448,0,373,373,298,298,821,969,1790,985,788,937,447,447,298,2710,1192,3902,964,788,596,298,0,224,2348,522,2870
7J4851,Tajik Air,DYU,TJK,LED,RUS,O,O,O,완료,,62,28,12,22,2,0,0,2,4,4,2,10,12,2,2,1,7,4,3,5,14,19,4,4,4,0,2,0,12,2,14,4,5,5,1,1,1,14,3,17,13111,5570,2688,4853,421,0,0,448,896,821,421,2165,2586,448,448,224,1568,896,672,1120,3136,4256,788,788,788,0,448,0,2364,448,2812,815,985,985,224,224,224,2785,672,3457
7J4863,Tajik Air,DYU,TJK,OVB,RUS,O,O,O,완료,,95,36,38,21,7,5,4,3,4,4,16,11,27,3,2,3,5,4,4,8,13,21,3,5,4,5,4,2,12,11,23,4,5,8,2,2,3,17,7,24,17005,5814,7462,3729,1043,895,896,672,596,596,2834,1864,4698,672,448,522,895,821,821,1642,2537,4179,447,745,596,745,671,373,1788,1789,3577,671,1120,1192,448,448,672,2983,1568,4551
7J4897,Tajik Air,DYU,TJK,ALA,KAZ,O,O,O,완료,,63,30,21,12,4,4,2,3,3,2,10,8,18,2,0,0,4,2,1,2,7,9,5,4,4,2,3,3,13,8,21,5,4,4,2,0,0,13,2,15,10803,5361,3654,1788,596,746,448,522,447,298,1790,1267,3057,448,0,0,596,298,149,448,1043,1491,937,788,644,298,447,447,2369,1192,3561,964,788,644,298,0,0,2396,298,2694
7J4898,Tajik Air,ALA,KAZ,DYU,TJK,O,O,O,완료,,62,30,21,11,5,4,3,3,3,2,12,8,20,2,0,0,3,2,1,2,6,8,5,4,4,2,2,3,13,7,20,5,3,4,2,0,0,12,2,14,10606,5313,3654,1639,745,746,597,522,447,298,2088,1267,3355,448,0,0,447,298,149,448,894,1342,937,788,644,298,298,447,2369,1043,3412,964,591,644,298,0,0,2199,298,2497
7J4911,Tajik Air,LBD,TJK,SGC,RUS,O,O,O,완료,,101,30,50,21,4,4,4,4,5,4,12,13,25,5,3,4,4,3,5,12,12,24,4,4,5,4,4,5,13,13,26,4,4,5,4,4,5,13,13,26,18279,4845,9930,3504,596,746,596,896,970,596,1938,2462,4400,1050,672,596,596,447,895,2318,1938,4256,596,596,745,596,746,1120,1937,2462,4399,596,596,1120,896,896,1120,2312,2912,5224
7J4923,Tajik Air,LBD,TJK,NJC,RUS,O,O,O,완료,2017.03.20 이후 폐선. ,7,4,3,0,2,0,2,0,0,0,4,0,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,1193,671,522,0,298,0,298,0,0,0,596,0,596,224,0,0,0,0,0,224,0,224,0,0,0,0,0,0,0,0,0,0,0,373,0,0,0,373,0,373
7J4929,Tajik Air,LBD,TJK,OVB,RUS,O,O,O,완료,,91,28,47,16,4,5,4,3,4,3,13,10,23,4,2,4,3,4,2,10,9,19,4,4,5,4,4,5,13,13,26,2,4,5,4,4,4,11,12,23,16149,5072,8618,2459,821,895,596,522,596,447,2312,1565,3877,821,413,821,447,596,373,2055,1416,3471,596,596,745,596,746,820,1937,2162,4099,298,896,1120,596,896,896,2314,2388,4702
7J627,Tajik Air,DYU,TJK,DME,RUS,O,O,O,완료,,297,131,65,101,8,11,19,3,23,20,38,46,84,6,9,1,21,21,16,16,58,74,21,22,21,0,10,0,64,10,74,19,19,21,5,0,1,59,6,65,62631,25597,14485,22549,1657,2464,4256,672,5152,4480,8377,10304,18681,1344,2016,224,4704,4629,3584,3584,12917,16501,4041,4142,3945,0,2240,0,12128,2240,14368,3905,3770,4137,1045,0,224,11812,1269,13081
7J629,Tajik Air,DYU,TJK,DME,RUS,O,O,O,완료,,121,54,28,39,3,4,8,1,9,8,15,18,33,3,4,1,9,8,5,8,22,30,9,9,7,0,4,0,25,4,29,8,9,9,2,0,1,26,3,29,25652,10719,6272,8661,618,896,1792,224,2016,1792,3306,4032,7338,672,896,224,2016,1717,1120,1792,4853,6645,1773,1773,1379,0,896,0,4925,896,5821,1630,1773,1773,448,0,224,5176,672,5848
7J645,Tajik Air,LBD,TJK,DME,RUS,O,O,O,완료,,395,120,195,80,16,19,15,11,17,16,50,44,94,16,15,16,18,17,12,47,47,94,17,19,18,17,18,18,54,53,107,15,18,17,17,18,15,50,50,100,71133,21903,37010,12220,3584,3581,2235,2389,2533,2459,9400,7381,16781,3209,3290,3509,2682,2533,2013,10008,7228,17236,2533,2831,2682,2533,3357,2907,8046,8797,16843,2433,4032,3808,2608,4032,3360,10273,10000,20273
