Restaurant Name,Rating,Address,Tel,Food,Price,Parking,Operating Time,Holiday
이나니와요스케,4.4,서울시 중구 을지로1가 192-11,02-772-9994,라멘 / 소바 / 우동,만원-2만원,주차공간없음,11:00 - 23:00,일
바오차이,4.4,서울시 중구 을지로2가 203,02-6031-0107,정통 중식 / 일반 중식,2만원-3만원,유료주차 가능,11:30 - 21:30,
라칸티나,4.4,서울시 중구 을지로1가 50,02-777-2579,이탈리안,3만원-4만원,,월-토: 11:30 - 23:00 일: 17:30 - 23:00,
라세느,4.3,서울시 중구 소공동 1,02-317-7171,뷔페,4만원 이상,발렛,06:00 - 22:00,
산수갑산,4.3,서울시 중구 인현동1가 15-4,02-2275-6654,탕 / 찌개 / 전골,만원 미만,유료주차 가능,월-금: 11:30 - 22:00 토: 11:30 - 20:00,일
양미옥,4.3,서울시 중구 을지로3가 141-2,02-2275-8838,고기 요리,2만원-3만원,유료주차 가능,11:00 - 22:00,
커피한약방,4.1,서울시 중구 을지로2가 101-34,070-4148-4242,카페 / 디저트,만원 미만,주차공간없음,월-금: 08:00 - 22:30 토: 11:00 - 21:00 일: 12:00 - 20:00,
혜민당,4.1,서울시 중구 을지로2가 101-43,,카페 / 디저트,만원 미만,,,
도이농,4.1,서울시 중구 수표동 56-11,010-2171-4246,태국 음식,만원 미만,,,
조선옥,4.1,서울시 중구 을지로3가 229-1,02-2266-0333,고기 요리,3만원-4만원,주차공간없음,12:00 - 22:00,둘째/넷째 일
작은물,4.1,서울시 중구 을지로3가 285-1,,카페 / 디저트,만원 미만,,,
해룡마라룽샤,4.1,서울시 중구 을지로6가 18-66,02-2268-6789,기타 중식,2만원-3만원,유료주차 가능 주차권 2시간 제공,12:00 - 24:00,
녁,4,서울시 중구 수표동 56-1,070-4150-0504,이탈리안,2만원-3만원,유료주차 가능,월-금: 11:00 - 24:00 토: 11:00 - 22:00 일: 11:00 - 21:00,
구이구이,4,서울시 중구 을지로1가 192-11,02-783-9292,한정식 / 백반 / 정통 한식,만원-2만원,주차공간없음,월-금: 11:00 - 23:00 토-일: 11:30 - 21:30,
잔,3.9,서울시 중구 을지로3가 349-1,02-2285-4854,카페 / 디저트,2만원-3만원,주차공간없음,11:00 - 24:00,일
호텔수선화,3.9,서울시 중구 을지로3가 302-18,070-8950-2649,카페 / 디저트,만원-2만원,유료주차 가능,12:00 - 24:00,일
을지로미팅룸,3.9,서울시 중구 초동 110,010-6327-0708,퓨전 양식,만원-2만원,주차공간없음,11:30 - 23:30,일
십분의일,3.9,서울시 중구 저동2가 5-2,010-9167-8051,칵테일 / 와인,만원 미만,유료주차 가능,월-금: 18:00 - 24:00 토: 18:00 - 02:00,일
노아 로스팅,3.9,서울시 중구 을지로2가 101-46,02-2272-6355,카페 / 디저트,만원 미만,주차공간없음,월-금: 07:30 - 22:00 토: 10:00 - 19:00,일
핀스카이,3.9,서울시 중구 을지로7가 58-1,02-2275-1331,칵테일 / 와인,만원 미만,무료주차 가능,18:00 - 03:00,
을지오뎅,3.9,서울시 중구 을지로3가 348-5,,일반 주점,만원-2만원,주차공간없음,17:00 - 24:00,
우에스토,3.8,서울시 중구 을지로2가 199-33,02-319-0033,돈부리 / 일본 카레 / 벤토,만원 미만,주차공간없음,11:00 - 24:00,
풍남원조골뱅이,3.8,서울시 중구 을지로3가 350,,일반 주점,2만원-3만원,주차공간없음,16:00 - 01:00,일
오구반점,3.7,서울시 중구 을지로3가 5-9,02-2267-0516,정통 중식 / 일반 중식,만원 미만,주차공간없음,11:00 - 21:00,일
안동장,3.7,서울시 중구 을지로3가 315-1,02-2266-3814,정통 중식 / 일반 중식,만원 미만,주차공간없음,11:30 - 21:30,
화덕과베토벤,3.7,서울시 중구 수표동 56-7,02-2275-7775,이탈리안,만원-2만원,주차공간없음,월-금: 11:00 - 23:00 토: 12:00 - 22:00,일
춘천막국수,3.7,서울시 중구 을지로4가 60,,국수 / 면 요리,만원-2만원,주차공간없음,월-금: 11:30 - 22:00 토-일: 11:30 - 20:00,
소복,3.7,서울시 중구 을지로7가 2-1,,카페 / 디저트,만원 미만,,,
신라원삼계탕,3.7,서울시 중구 을지로2가 101-38,02-757-5446,탕 / 찌개 / 전골,만원-2만원,주차공간없음,11:30 - 22:00,일
그랑블루,3.6,서울시 중구 수표동 35-10,070-7798-0872,이탈리안,만원-2만원,주차공간없음,11:30 - 22:00,
쎄투,3.6,서울시 중구 을지로3가 95-4,010-9363-2597,카페 / 디저트,만원 미만,주차공간없음,12:30 - 19:00,일
잘루스,3.6,서울시 중구 광희동1가 143-2,02-2277-5418,다국적 아시아 음식,만원-2만원,주차공간없음,10:00 - 23:00,
창고43,3.6,서울시 중구 을지로2가 203,02-6031-0081,고기 요리,4만원 이상,유료주차 가능,11:30 - 22:00,
아오리의행방불명,3.4,서울시 중구 을지로7가 2-1,,라멘 / 소바 / 우동,만원 미만,,,
동경우동,3.4,서울시 중구 초동 17-1,02-2274-3440,라멘 / 소바 / 우동,만원 미만,유료주차 가능,09:00 - 21:00,일
경성팥집옥루몽,3.4,서울시 중구 을지로7가 2-1,,카페 / 디저트,만원 미만,,10:00 - 23:00,
모스버거,3.4,서울시 중구 을지로2가 199-8,02-779-7416,브런치 / 버거 / 샌드위치,만원 미만,주차공간없음,월-금: 08:00 - 23:00 토-일: 08:00 - 22:00,
분카샤,3.3,서울시 중구 을지로3가 302-2,02-2269-6947,카페 / 디저트,만원 미만,주차공간없음,월-토: 12:00 - 24:00 일: 12:00 - 20:00,
에베레스트,3.3,서울시 중구 을지로6가 18-21,02-2118-8898,인도 음식,만원-2만원,유료주차 가능,월: 11:00 - 22:00 화: 16:00 - 22:00 수-일: 11:00 - 22:00,
판다익스프레스,3.3,서울시 중구 소공동 1,02-726-4032,퓨전 중식,2만원-3만원,유료주차 가능,월-목: 10:30 - 20:00 금-일: 10:30 - 20:30,
오설록티하우스,3.3,서울시 중구 을지로6가 18-134,02-2279-6507,카페 / 디저트,만원-2만원,주차공간없음,10:00 - 23:00,
모찌크림,3.3,서울시 중구 소공동 1,02-772-3997,카페 / 디저트,만원 미만,유료주차 가능,월-금: 10:30 - 20:00 토-일: 10:30 - 20:30,
헤븐온탑,3.2,서울시 중구 을지로7가 2-1,,카페 / 디저트,만원 미만,,,
북촌손만두,3.1,서울시 중구 을지로6가 18-137,02-2275-5580,한정식 / 백반 / 정통 한식,만원 미만,주차공간없음,10:30 - 06:00,
델리커리,2.7,서울시 중구 을지로7가 143,,돈부리 / 일본 카레 / 벤토,만원 미만,유료주차 가능,11:00 - 22:00,
커피사마리아,-,서울시 중구 을지로3가 278,02-2274-2780,카페 / 디저트,만원 미만,주차공간없음,12:00 - 20:00,일
청시행,-,서울시 중구 을지로3가 95-13,02-1522-2364,브런치 / 버거 / 샌드위치,만원 미만,주차공간없음,11:00 - 23:00,
아러바우트,-,서울시 중구 저동1가 48,02-752-3151,카페 / 디저트,만원 미만,무료주차 가능,월-금: 08:00 - 21:00 토-일: 10:00 - 21:00,
투피스,-,서울시 중구 을지로5가 76-1,,카페 / 디저트,만원 미만,,12:00 - 21:00,"일, 월"
아웃백스테이크하우스,-,서울시 중구 을지로2가 199-22,02-778-6731,패밀리 레스토랑,2만원-3만원,,11:00 - 23:00,
석산정,-,서울시 중구 산림동 296-1,,고기 요리,2만원-3만원,주차공간없음,10:00 - 22:00,
준수방키친,-,서울시 중구 저동1가 48,02-3789-0692,퓨전 양식,2만원-3만원,무료주차 가능 2시간 무료,11:00 - 23:00,
유에서유,-,서울시 중구 수표동 56-1,02-2261-0314,기타 일식,만원 미만,주차공간없음,11:30 - 24:00,토-일
호반집,-,서울시 중구 인현동1가 24-2,,한정식 / 백반 / 정통 한식,만원-2만원,주차공간없음,월-금: 10:00 - 22:00 토: 11:00 - 18:00,일
샤이바나,-,서울시 중구 을지로7가 2-1,02-2252-4281,퓨전 양식,만원-2만원,유료주차 가능,11:00 - 21:30,
앙비떼,-,서울시 중구 주교동 253-2,02-6409-5559,카페 / 디저트,만원 미만,,,
한국관,-,서울시 중구 을지로3가 345-7,02-2275-8253,고기 요리,만원-2만원,주차공간없음,00:00 - 24:00,
봉추찜닭,-,서울시 중구 을지로6가 18-21,,닭 / 오리 요리,2만원-3만원,주차공간없음,11:00 - 23:00,
호성,-,서울시 중구 을지로3가 296-6,,정통 일식 / 일반 일식,3만원-4만원,주차공간없음,월-금: 11:00 - 22:00 토: 11:00 - 21:00,일
뿌자2,-,서울시 중구 을지로6가 18-71,02-2274-2922,인도 음식,만원-2만원,주차공간없음,11:00 - 23:00,
물결,-,서울시 중구 을지로3가 295-5,070-4142-7202,치킨 / 호프 / 펍,만원-2만원,무료주차 가능,08:00 - 23:00,일
울란바타르,-,서울시 중구 광희동1가 143-2,02-2265-6565,세계음식 기타,만원-2만원,주차공간없음,10:00 - 20:00,
스시하루,-,서울시 중구 을지로2가 101-21,,회 / 스시,3만원-4만원,주차공간없음,11:00 - 21:30,
그라츠과자점,-,서울시 중구 을지로2가 181,02-779-1405,베이커리,만원 미만,주차공간없음,월-금: 07:00 - 22:00 토: 09:00 - 20:00,일
구름공방,-,서울시 중구 을지로3가 348-4,,퓨전 양식,만원-2만원,,,
달인겉절이칼국수보쌈,-,서울시 중구 을지로2가 203,02-6031-0093,기타 한식,2만원-3만원,,월-금: 09:30 - 21:30 토: 09:00 - 14:30,일
George,-,서울시 중구 을지로3가 334-7,070-8810-2693,카페 / 디저트,만원 미만,주차공간없음,화-목: 14:00 - 22:00 금-토: 12:00 - 24:00 일: 13:00 - 20:00,월
동대문진짜원조닭한마리,-,서울시 중구 을지로6가 18-84,02-2266-7181,닭 / 오리 요리,2만원-3만원,유료주차 가능,월-금: 11:00 - 23:00 토-일: 11:00 - 24:00,
해남낙지,-,서울시 중구 을지로6가 18-74,02-2278-4162,해산물 요리,만원-2만원,주차공간없음,10:00 - 22:00,일
사마리칸트,-,서울시 중구 을지로6가 34-2,02-2279-7780,세계음식 기타,만원 미만,주차공간없음,10:00 - 23:00,
락희옥,-,서울시 중구 을지로2가 149-10,,기타 한식,만원-2만원,,08:00 - 23:00,
302호 BAR,-,서울시 중구 을지로2가 101-30,010-9178-3072,칵테일 / 와인,만원-2만원,유료주차 가능,월-목: 19:00 - 01:00 금-토: 19:00 - 02:00,일
스몰하우스빅도어,-,서울시 중구 다동 115,02-2038-8191,이탈리안,만원-2만원,유료주차 가능,11:00 - 23:30,
설빙,-,서울시 중구 을지로6가 23,02-2276-0992,카페 / 디저트,만원 미만,유료주차 가능,일-목: 11:00 - 01:00 금-토: 11:00 - 02:00,
토끼정,-,서울시 중구 소공동 1,02-772-3639,퓨전 일식,만원-2만원,유료주차 가능,10:30 - 20:30,
을지칼국수,-,서울시 중구 을지로3가 291-45,,국수 / 면 요리,만원 미만,주차공간없음,월-금: 10:30 - 22:00 토: 10:30 - 17:00,일
