Album Title,Artist Name,Genre,Date,Distribution,Rating,Music Count
거기가 어딘데?? OST,Various Artists,O.S.T,2018.09.01,워너뮤직코리아,6.4,8
얍,갈릭스(Garlixx),"인디뮤직,  락",2018.09.01,(주)미러볼뮤직,3.8,2
너와 나,파란 ,발라드,2018.09.01,(주)지니뮤직,7.7,2
PRODUCE 48 - FINAL,PRODUCE 48,댄스,2018.09.01,Stone Music Entertainment,7,4
Weather : 오늘 당신의 날씨는 어떤가요? Part 4,이진아,재즈,2018.09.01,(주)지니뮤직,6.7,1
해도 돼 (28.911),정바스(J.BASS),"알앤비/어반,  인디뮤직",2018.09.01,포크라노스,4,1
Koong! Pop!,정진운,락,2018.09.02,로엔엔터테인먼트,6.4,3
눈물로 하는 말,라운드어바웃(RoundAbout),발라드,2018.09.02,(주)지니뮤직,6.3,2
AboutU 4th Single,AboutU(어바우츄),락,2018.09.02,(주)지니뮤직,3.3,1
데려가 (feat. nafla),블루(BLOO),랩/힙합,2018.09.02,(주)엔에이치엔벅스,5.8,1
고양이,크리틱 24 7(KRTK 24 7),인디뮤직,2018.09.01,(주)오감엔터테인먼트,5.6,1
카페인 (Under Caffeine),스텔라장(Stella Jang),알앤비/어반,2018.09.01,로엔엔터테인먼트,7,2
tvN 300 x NC 피버뮤직 - EP1,Various Artists,"랩/힙합,  락",2018.09.01,Stone Music Entertainment,5,2
너와 본 영화는 다 기억나,더필름(The Film),"발라드,  인디뮤직",2018.09.01,워너뮤직코리아,7.6,2
보이스2 (OCN 토일드라마) OST - Part 2,블랙나인 (BLACK NINE),드라마음악,2018.09.01,(주)엔에이치엔벅스,9,2
동행 (同行),김용진,발라드,2018.09.02,Stone Music Entertainment,7.5,3
끝까지 사랑 OST Part 10,란(RAN),드라마음악,2018.09.02,(주)다날엔터테인먼트,6.6,2
어느 날 (Someday),밴드민하,"인디뮤직,  락",2018.09.02,(주)오감엔터테인먼트,7.1,2
부잣집 아들 OST Part 12,임상현,드라마음악,2018.09.02,(주)지니뮤직,8.8,2
Blank,ANDN,"인디뮤직,  락",2018.09.02,포크라노스,8.3,1
[Sep] Time Cafe,피아노을(Piano:el),뉴에이지,2018.09.02,워너뮤직코리아,4.2,30
이타카로 가는 길 Part 8,윤도현,락,2018.09.02,Stone Music Entertainment,6,1
Falling,Nana Mellie(나나멜리),알앤비/어반,2018.09.02,로엔엔터테인먼트,5.4,2
하늘엔 별이 떠있고 너만큼은 빛나질 않아,이민혁,"발라드,  인디뮤직",2018.09.03,워너뮤직코리아,8.6,1
역병,스톤엑스,락,2018.09.03,(주)뮤즈플랫폼,1,1
2018 월간 윤종신 9월호,윤종신,발라드,2018.09.03,(주)아이리버,8.3,1
원츄,캔(Can),"락,  댄스",2018.09.03,(주)뮤직앤뉴,5,3
복수노트2 OST Part.2,필독,드라마음악,2018.09.03,(주)블렌딩,7.8,1
Second Write..,남우현,발라드,2018.09.03,로엔엔터테인먼트,9.7,7
Sunshine,백퍼센트(100%),댄스,2018.09.03,로엔엔터테인먼트,8.2,7
미스터 션샤인 OST Part 11,백지영,드라마음악,2018.09.02,Stone Music Entertainment,9,1
GANG MOVE,Chillin Homie,랩/힙합,2018.09.02,Stone Music Entertainment,6,1
기타맨,권우유(KwonMilk),"인디뮤직,  포크",2018.09.02,(주)미러볼뮤직,7.4,1
We Go Up - The 2nd Mini Album,NCT DREAM,랩/힙합,2018.09.03,(주)아이리버,9,6
Candle,택우,"인디뮤직,  포크",2018.09.03,포크라노스,7.8,1
그대가 걸어오네요,정소율,"발라드,  인디뮤직",2018.09.03,워너뮤직코리아,7.1,2
그래픽,코타 (COTA),알앤비/어반,2018.09.03,(주)지니뮤직,3.3,2
사생결단로맨스 OST Part 8,한희정,드라마음악,2018.09.03,로엔엔터테인먼트,8.3,2
별자리와 혈액형 사이5,인스타(INStar),"포크,  인디뮤직",2018.09.03,(주)티에스앤엔터테인먼트,0,1
Ooh Babe,Alisha(알리샤),알앤비/어반,2018.09.03,(주)루미넌트엔터테인먼트,4.7,1
Build Young,OWLER(아울러),랩/힙합,2018.09.03,아토엔터테인먼트,7.5,1
Be Lost In Memory,리자스터(LeeJassTer),랩/힙합,2018.09.03,(주)디지탈레코드,0,1
"해지고, 또 헤진다.",손한묵,발라드,2018.09.03,(주)필뮤직,5,2
Different Time,치봉,알앤비/어반,2018.09.03,(주)오감엔터테인먼트,5.6,1
같이 놀자,브랜뉴걸(Brand New Girl),댄스,2018.09.03,(주)오감엔터테인먼트,0,1
What Did You See?,에이건누(Agunu),랩/힙합,2018.09.03,(주)엔에이치엔벅스,4.5,7
오랜만이야,모링가(MORINGA),발라드,2018.09.03,(주)루미넌트엔터테인먼트,5,1
DAY OFF,Planet Black,랩/힙합,2018.09.03,Stone Music Entertainment,4.4,1
Budapest,Tigger & Giovani,"일렉트로니카,  하우스",2018.09.03,(주)필뮤직,7,1
I Always,김제훈,알앤비/어반,2018.09.03,(주)다날엔터테인먼트,4,2
라이프 OST Part 5,주완(ZUWAN),드라마음악,2018.09.03,(주)지니뮤직,7.3,1
우리에,오영,인디뮤직,2018.09.03,(주)지니뮤직,6.7,1
3rd Album 'Self Love',스쿠터 다이어리(Scooter Diary),"인디뮤직,  포크",2018.09.03,먼데이브런치,4,12
YEAH,애쉬그레이(AshGray),락,2018.09.03,(주)소리바다,4.8,2
Perfect Experience,Jay Kim(제이킴),컨템포러리 재즈,2018.09.03,Stone Music Entertainment,9.2,9
SHOW,Benny,랩/힙합,2018.09.03,(주)코부코,0,1
흔들흔들,헨(Hen),발라드,2018.09.03,(주)광수미디어,5,2
테이크 오프 (TAKE OFF),블랑세븐(BLANC7),댄스,2018.09.03,(주)엘리야엔터테인먼트,8.7,3
Cinema,생선이 하품하네,락,2018.09.03,(주)티에스앤엔터테인먼트,5,3
Vital Sign,The Colored Paper,"랩/힙합,  인디뮤직",2018.09.03,(주)미러볼뮤직,5.4,1
내가 찾던 사람,블루베리머치,"인디뮤직,  락,  랩/힙합",2018.09.03,(주)필뮤직,6.7,2
THINK ABOUT YOU.,Hoon.J,알앤비/어반,2018.09.04,(주)루미넌트엔터테인먼트,4,2
Wedding Day,담소네공방,"인디뮤직,  포크",2018.09.04,(주)미러볼뮤직,6.9,2
So.,돼지,락,2018.09.04,(주)뮤즈플랫폼,0,1
푸르던,비스윗(Besweet),인디뮤직,2018.09.04,(주)엔에이치엔벅스,6.9,5
