Ç×°ø»ç,Ãâ¹ß °øÇ×,Ãâ¹ß ±¹°¡,Ãâ¹ß±¹°¡ÀÌ¸§,µµÂø °øÇ×,µµÂø ±¹°¡,³âµµ,¿ù,¿îÇ×È¸¼ö,Ãâ¹ß ±¹°¡,µµÂø ±¹°¡,Á¤¿ø(ÀüÃ¼)
AZAL Azerbaijan Airlines,SCO,KAZ,Ä«ÀÚÈå½ºÅº,GYD,AZE,2016,6,8,8,8,500
AZAL Azerbaijan Airlines,SCO,KAZ,Ä«ÀÚÈå½ºÅº,GYD,AZE,2016,7,7,7,7,514
AZAL Azerbaijan Airlines,SCO,KAZ,Ä«ÀÚÈå½ºÅº,GYD,AZE,2016,8,12,12,12,760
AZAL Azerbaijan Airlines,SCO,KAZ,Ä«ÀÚÈå½ºÅº,GYD,AZE,2016,9,2,2,2,164
AZAL Azerbaijan Airlines,SCO,KAZ,Ä«ÀÚÈå½ºÅº,GYD,AZE,2016,11,2,2,2,140
AZAL Azerbaijan Airlines,SCO,KAZ,Ä«ÀÚÈå½ºÅº,GYD,AZE,2016,12,3,3,3,298
AZAL Azerbaijan Airlines,SCO,KAZ,Ä«ÀÚÈå½ºÅº,GYD,AZE,2017,5,1,1,1,50
AZAL Azerbaijan Airlines,SCO,KAZ,Ä«ÀÚÈå½ºÅº,GYD,AZE,2017,6,5,5,5,270
AZAL Azerbaijan Airlines,SCO,KAZ,Ä«ÀÚÈå½ºÅº,GYD,AZE,2017,7,4,4,4,220
AZAL Azerbaijan Airlines,SCO,KAZ,Ä«ÀÚÈå½ºÅº,GYD,AZE,2017,8,8,8,8,604
AZAL Azerbaijan Airlines,SCO,KAZ,Ä«ÀÚÈå½ºÅº,GYD,AZE,2017,10,2,2,2,228
AZAL Azerbaijan Airlines,SCO,KAZ,Ä«ÀÚÈå½ºÅº,GYD,AZE,2017,11,30,30,30,3644
AZAL Azerbaijan Airlines,SCO,KAZ,Ä«ÀÚÈå½ºÅº,GYD,AZE,2017,12,1,1,1,114
AZAL Azerbaijan Airlines,TSE,KAZ,Ä«ÀÚÈå½ºÅº,GYD,AZE,2018,3,1,1,1,237
Aeroflot,AKX,KAZ,Ä«ÀÚÈå½ºÅº,SVO,RUS,2016,6,13,13,13,1237
