도착 국가,출발 국가,항공사,출발 공항,도착 공항,년도,월,운항회수,출발 국가,도착 국가,정원(전체)
AFG,KAZ,Bek Air,ALA,KBL,2016,6,2,2,2,200
AFG,KAZ,Kam Air,ALA,KBL,2016,12,2,2,2,252
AFG,KAZ,Kam Air,ALA,KBL,2017,1,3,3,3,378
AFG,KAZ,Kam Air,ALA,KBL,2017,2,1,1,1,126
AFG,KAZ,Kam Air,ALA,KBL,2017,3,4,4,4,504
AFG,KAZ,Kam Air,ALA,KBL,2017,4,2,2,2,252
AFG,KAZ,Kam Air,ALA,KBL,2017,5,3,3,3,410
AFG,KAZ,Kam Air,ALA,KBL,2017,6,2,2,2,252
AFG,KAZ,Kam Air,ALA,KBL,2017,7,4,4,4,513
AFG,KAZ,Kam Air,ALA,KBL,2017,8,4,4,4,504
AFG,KAZ,Kam Air,ALA,KBL,2017,9,4,4,4,504
AFG,KAZ,Kam Air,ALA,KBL,2017,10,4,4,4,513
AFG,KAZ,Kam Air,ALA,KBL,2017,11,4,4,4,552
AFG,KAZ,Kam Air,ALA,KBL,2017,12,4,4,4,504
AFG,KAZ,Kam Air,ALA,KBL,2018,1,3,3,3,417
AFG,KAZ,Kam Air,ALA,KBL,2018,2,3,3,3,378
AFG,KAZ,Kam Air,ALA,KBL,2018,3,5,5,5,604
AFG,KAZ,Kam Air,ALA,KBL,2018,4,4,4,4,550
AFG,KAZ,Kam Air,ALA,KBL,2018,5,4,4,4,504
AFG,KGZ,Avia Traffic Company,FRU,JAA,2017,11,3,3,3,288
AFG,KGZ,Avia Traffic Company,FRU,JAA,2017,12,2,2,2,192
AFG,KGZ,Avia Traffic Company,FRU,JAA,2018,1,3,3,3,288
AFG,KGZ,Avia Traffic Company,FRU,JAA,2018,2,3,3,3,288
AFG,KGZ,Avia Traffic Company,FRU,JAA,2018,3,3,3,3,288
AFG,KGZ,Avia Traffic Company,FRU,JAA,2018,4,4,4,4,384
AFG,KGZ,Avia Traffic Company,FRU,JAA,2018,5,5,5,5,480
AFG,TJK,Kam Air,DYU,KBL,2016,6,5,5,5,500
AFG,TJK,Kam Air,DYU,KBL,2016,9,1,1,1,100
AFG,TJK,Kam Air,DYU,KBL,2016,11,6,6,6,600
