출발 국가,항공사,출발 공항,도착 공항,도착 국가,도착국가이름,년도,월,운항회수,출발 국가,도착 국가,정원(전체)
KAZ,AZAL Azerbaijan Airlines,SCO,GYD,AZE,아제르바이잔,2016,6,8,8,8,500
KAZ,AZAL Azerbaijan Airlines,SCO,GYD,AZE,아제르바이잔,2016,7,7,7,7,514
KAZ,AZAL Azerbaijan Airlines,SCO,GYD,AZE,아제르바이잔,2016,8,12,12,12,760
KAZ,AZAL Azerbaijan Airlines,SCO,GYD,AZE,아제르바이잔,2016,9,2,2,2,164
KAZ,AZAL Azerbaijan Airlines,SCO,GYD,AZE,아제르바이잔,2016,11,2,2,2,140
KAZ,AZAL Azerbaijan Airlines,SCO,GYD,AZE,아제르바이잔,2016,12,3,3,3,298
KAZ,AZAL Azerbaijan Airlines,SCO,GYD,AZE,아제르바이잔,2017,5,1,1,1,50
KAZ,AZAL Azerbaijan Airlines,SCO,GYD,AZE,아제르바이잔,2017,6,5,5,5,270
KAZ,AZAL Azerbaijan Airlines,SCO,GYD,AZE,아제르바이잔,2017,7,4,4,4,220
KAZ,AZAL Azerbaijan Airlines,SCO,GYD,AZE,아제르바이잔,2017,8,8,8,8,604
KAZ,AZAL Azerbaijan Airlines,SCO,GYD,AZE,아제르바이잔,2017,10,2,2,2,228
KAZ,AZAL Azerbaijan Airlines,SCO,GYD,AZE,아제르바이잔,2017,11,30,30,30,3644
KAZ,AZAL Azerbaijan Airlines,SCO,GYD,AZE,아제르바이잔,2017,12,1,1,1,114
KAZ,AZAL Azerbaijan Airlines,TSE,GYD,AZE,아제르바이잔,2018,3,1,1,1,237
KAZ,Aeroflot,AKX,SVO,RUS,러시아,2016,6,13,13,13,1237
KAZ,Aeroflot,AKX,SVO,RUS,러시아,2016,7,12,12,12,1097
KAZ,Aeroflot,AKX,SVO,RUS,러시아,2016,8,12,12,12,1044
KAZ,Aeroflot,AKX,SVO,RUS,러시아,2016,9,12,12,12,1168
KAZ,Aeroflot,AKX,SVO,RUS,러시아,2016,10,13,13,13,1237
KAZ,Aeroflot,AKX,SVO,RUS,러시아,2016,11,17,17,17,1585
KAZ,Aeroflot,AKX,SVO,RUS,러시아,2016,12,18,18,18,1690
KAZ,Aeroflot,AKX,SVO,RUS,러시아,2017,1,17,17,17,1797
KAZ,Aeroflot,AKX,SVO,RUS,러시아,2017,2,16,16,16,1498
KAZ,Aeroflot,AKX,SVO,RUS,러시아,2017,3,17,17,17,1922
KAZ,Aeroflot,AKX,SVO,RUS,러시아,2017,4,18,18,18,1566
KAZ,Aeroflot,AKX,SVO,RUS,러시아,2017,5,17,17,17,1656
KAZ,Aeroflot,AKX,SVO,RUS,러시아,2017,6,17,17,17,1621
KAZ,Aeroflot,AKX,SVO,RUS,러시아,2017,7,18,18,18,1990
KAZ,Aeroflot,AKX,SVO,RUS,러시아,2017,8,18,18,18,2535
KAZ,Aeroflot,AKX,SVO,RUS,러시아,2017,9,17,17,17,1775
KAZ,Aeroflot,AKX,SVO,RUS,러시아,2017,10,18,18,18,1708
KAZ,Aeroflot,AKX,SVO,RUS,러시아,2017,11,17,17,17,1532
KAZ,Aeroflot,AKX,SVO,RUS,러시아,2017,12,18,18,18,1725
KAZ,Aeroflot,AKX,SVO,RUS,러시아,2018,1,17,17,17,1894
KAZ,Aeroflot,AKX,SVO,RUS,러시아,2018,2,16,16,16,1463
KAZ,Aeroflot,AKX,SVO,RUS,러시아,2018,3,17,17,17,1532
