Year,Month,Album Title,Artist Name,Genre,Date,Distribution,Rating,Music Count
2017,1,Boys and Girls Music Vol. 1,샘김,알앤비/어반,2017.01.25,로엔 엔터테인먼트,8.6,2
2017,1,여자친구 The 1st Album 'LOL',여자친구(GFRIEND),댄스,2016.07.11,로엔엔터테인먼트,8.1,12
2017,1,Collage (EP),The Chainsmokers,일렉트로니카,2016.11.05,소니뮤직,7.5,5
2017,1,If You,에일리,발라드,2016.08.23,로엔 엔터테인먼트,6.9,1
2017,1,세 단어,젝스키스,발라드,2016.10.07,YG PLUS,9,1
2017,1,푸른 바다의 전설 OST Part 1,린,드라마음악,2016.11.17,로엔 엔터테인먼트,8.1,2
2017,1,신현희와김루트,신현희와김루트,"포크,  인디뮤직",2015.02.26,Mirrorball Music,8.1,6
2017,1,도깨비 OST Part 11,Various Artists,드라마음악,2017.01.09,(주)지니뮤직,8.8,3
2017,1,From. 우주소녀,우주소녀,댄스,2017.01.04,로엔 엔터테인먼트,8.2,6
2017,1,응답하라 1988 OST Part 2,이적,드라마음악,2015.11.07,(주)지니뮤직,8.6,1
2017,1,In The Lonely Hour,Sam Smith,팝,2014.05.27,유니버설뮤직,9.3,10
2017,1,3집 GOOD TIMING,B1A4,댄스,2016.11.28,로엔엔터테인먼트,8.8,13
2017,1,웃긴 밤,권진아,발라드,2016.09.19,(주)지니뮤직,8.5,7
2017,1,2집 사춘기 하 (思春記 下),악동뮤지션,"발라드,  락,  포크",2017.01.03,(주)지니뮤직,9.2,8
2017,1,SQUARE ONE,BLACKPINK,랩/힙합,2016.08.08,YG PLUS,7,2
2017,1,wonderlust,크러쉬(CRUSH),알앤비/어반,2016.10.14,(주)지니뮤직,8.1,5
2017,1,13집 I'M,임창정,발라드,2016.09.06,(주)인터파크,9,14
2017,1,푸른 바다의 전설 OST Part 5,성시경,드라마음악,2016.12.08,로엔 엔터테인먼트,8.4,2
2017,1,7집 I am A Dreamer,박효신,발라드,2016.10.03,로엔엔터테인먼트,9,12
2017,1,PAGE TWO,TWICE(트와이스),댄스,2016.04.25,(주)아이리버,8.1,7
2017,1,무한도전 위대한 유산,무한도전,랩/힙합,2016.12.31,로엔 엔터테인먼트,8,6
2017,1,최고의 선물,비,발라드,2017.01.15,로엔 엔터테인먼트,7.5,2
2017,1,2집 사춘기 하 (思春記 下),악동뮤지션,"발라드,  락,  포크",2017.01.03,(주)지니뮤직,9.2,8
2017,1,화랑 OST Part 2,뷔(V),드라마음악,2016.12.20,Sony Music,9,2
2017,1,푸른 바다의 전설 OST Part 6,이선희,드라마음악,2016.12.15,로엔 엔터테인먼트,9,2
